SPECIES_CODE,COMMON_NAME,REGION,REASON,PRIORITY,RESIDENT,LAND,WEEKLY_STATUS,SEASONAL_STATUS,REVIEWER,LAST_REVIEWER,ANIMATION_QUALITY,NONBREEDING_START,NONBREEDING_CORE_START,NONBREEDING_CORE_END,NONBREEDING_END,PREBREEDING_MIGRATION_START,PREBREEDING_MIGRATION_END,BREEDING_START,BREEDING_CORE_START,BREEDING_CORE_END,BREEDING_END,POSTBREEDING_MIGRATION_START,POSTBREEDING_MIGRATION_END,RESIDENT_START,RESIDENT_CORE_START,RESIDENT_CORE_END,RESIDENT_END,NONBREEDING_QUALITY,PREBREEDING_MIGRATION_QUALITY,BREEDING_QUALITY,POSTBREEDING_MIGRATION_QUALITY,all_seasons_pass,NONBREEDING_RANGE_MODELED,PREBREEDING_MIGRATION_RANGE_MODELED,BREEDING_RANGE_MODELED,POSTBREEDING_MIGRATION_RANGE_MODELED,FULL_YEAR_QUALITY,SENSITIVE,FORCE_GLOBAL_PROJ,RAN_AS_RESIDENT,CUSTOM_ES,CUSTOM_PAT,notes
afrwar1,African Reed Warbler,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,Broken taxa
agaher1,Agami Heron,,Request,4,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,1,1,1,1,,TRUE,TRUE,TRUE,TRUE,1,,,,,,"Appears to get the major areas, with some noise through the Amazon, which isn't surprising."
aldfly,Alder Flycatcher,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,3,11-16,12-07,02-22,03-01,03-22,06-14,06-21,06-28,07-13,07-13,07-20,11-09,,,,,2,3,3,3,TRUE,FALSE,TRUE,TRUE,TRUE,3,,,,,,Still not doing great in the winter.
alepar2,Alexandrine Parakeet,,Europe,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Maybe a touch sparse in SE ASia, but gets core areas in Cambodia"
aleter1,Aleutian Tern,North America,Nat Geo West,2,FALSE,WATER,LOOKS GOOD,LOOKS GOOD,MTA,MTA,0,,,,,04-12,05-17,07-13,,,08-17,08-24,09-28,,,,,0,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,2,,,,,,"Switching to open ocean let us add decent migration through Taiwan. Breeding ends up bleeding a little east and a little deep, but not bad."
allhum,Allen's Hummingbird,North America,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,09-07,10-05,12-07,01-04,01-11,03-15,03-22,03-29,06-07,06-07,06-14,08-31,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
alpacc1,Alpine Accentor,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,11-16,,,02-22,03-01,06-14,06-21,,,08-03,08-10,11-09,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Missing Japan, central Asia patchy throughout."
alpswi1,Alpine Swift,Asia,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,2,11-16,,,01-11,01-18,05-03,05-10,,,07-13,07-20,11-09,,,,,2,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,,,,,,"A little rough on Arabian peninsula, and in Nepal. Otherwise, this is pretty great."
altori,Altamira Oriole,Central America,Nat Geo East,1,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,0,,,,,,,,01-25,03-08,,,,,01-25,03-08,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,
altyel1,Altamira Yellowthroat,Central America,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Cleaned up in north and west and along southern edge.
amakin1,Amazon Kingfisher,,North America,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"A little tight on norhern edge, otherwise good."
ambduc,American Black Duck,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,12-14,12-28,02-15,02-15,02-22,05-17,05-24,05-24,06-14,07-13,07-20,12-07,,,,,3,2,3,2,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Almost have Quebec and Labrador complete
ameavo,American Avocet,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-14,12-28,01-25,01-25,02-01,05-03,05-10,05-10,06-21,06-21,06-28,12-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Continues to look great
amebit,American Bittern,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,11-30,12-07,01-25,02-15,02-22,05-31,06-07,06-14,07-20,07-27,08-03,11-23,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,"There are only a few rough edges on the animation, especially during breeding season, otherwise it's fine."
amecro,American Crow,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-14,12-14,01-25,01-25,02-01,05-03,05-10,05-17,06-21,07-06,07-13,11-30,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
amedip,American Dipper,North America,Nat Geo West,2,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,0,,,,,,,,,,,,,,05-17,06-21,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,"Not quite far north enough and a touch patchy in Mexico, but good otherwise."
amegfi,American Goldfinch,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-07,12-14,02-15,03-22,03-29,05-24,05-31,06-14,08-03,08-24,08-31,11-30,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
amekes,American Kestrel,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,11-16,01-04,02-08,02-22,03-01,05-10,05-17,05-31,07-06,08-10,08-17,11-09,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
ameoys,American Oystercatcher,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,11-23,12-14,02-01,02-22,03-01,05-03,05-10,05-17,06-28,07-27,08-31,11-16,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
amepip,American Pipit,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,12-21,12-28,02-01,02-08,02-15,05-31,06-07,06-07,07-27,07-27,08-03,12-14,,,,,3,2,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,2,,,,,,Still missing probably more than half of japonicus throughout the year. All 3s for North America.
amered,American Redstart,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,MTA,3,11-30,11-30,03-08,03-22,03-29,06-14,06-21,06-21,07-13,07-13,07-20,11-23,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
amerob,American Robin,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-07,01-04,02-01,02-01,02-08,05-10,05-31,05-31,06-28,08-31,09-21,11-30,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
amewig,American Wigeon,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,12-14,12-14,01-18,01-18,01-25,05-24,05-31,06-21,08-03,08-03,08-10,12-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
amewoo,American Woodcock,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-21,12-21,01-11,01-11,01-18,05-10,05-17,05-17,07-13,09-14,09-21,12-14,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
amgplo,American Golden-Plover,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,12-07,12-07,02-01,02-15,02-22,06-07,06-14,06-28,07-13,07-20,07-27,11-30,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Animation still pretty bumped in a few regions and times of the year.
ampkin1,American Pygmy Kingfisher,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.14,Good
amthum1,Amethyst-throated Mountain-gem,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,0,,,,,,"Maybe a bit much in Michoacan, but who knows?"
amtspa,American Tree Sparrow,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,12-14,12-28,02-08,02-15,02-22,05-17,05-24,05-31,08-10,08-10,08-17,12-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Animation struggling during late breeding and early fall migration
amwpel,American White Pelican,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-21,12-21,01-25,02-15,02-22,05-24,05-31,06-07,07-06,08-10,08-17,12-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
anchum1,Antillean Crested Hummingbird,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,0,,,,,0.14,Too tight and missing PR right now.
ancmur,Ancient Murrelet,,Nat Geo West,2,FALSE,WATER,LOOKS GOOD,LOOKS GOOD,MTA,,0,11-16,,,03-15,05-03,06-21,06-28,,,08-10,08-17,11-09,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,
andcon1,Andean Condor,South America,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,0,,,,,,,,06-07,07-27,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"I almost want to fail this because Ecuador NEVER shows up, and Colombia is on and off"
andgoo1,Andean Goose,South America,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,IJD,2,05-24,05-24,08-24,09-14,09-21,11-09,11-16,12-21,01-11,03-15,03-22,05-17,,,,,3,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,,,,,,Better filled in during non-breeding season this time around.
andtin1,Andean Tinamou,,Request,4,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Central Peru is not good, extrapolated there."
anhing,Anhinga,South America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,2,11-09,11-16,02-01,02-01,02-08,04-26,05-03,05-03,07-13,07-20,07-27,11-02,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
annhum,Anna's Hummingbird,North America,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,06-14,06-14,08-31,08-31,09-07,01-18,01-25,02-01,04-26,05-03,05-10,06-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Switch these dates based on BOW feedback.
anpswi,Antillean Palm-Swift,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.2,Mostly good. A little tight in e. Cuba.
antman1,Antillean Mango,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,0,,,,,,Taxa doesn't exist anymore
antnig,Antillean Nighthawk,Caribbean,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,2,10-26,,,03-22,03-29,05-03,05-10,05-10,07-13,08-10,08-17,10-19,,,,,0,0,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,3,,,,,,Animation worth showing...just missing winter.
apapan,Apapane,,Request,4,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Missing Lanai, but forgiveable, otherwise looks nice."
aplfal,Aplomado Falcon,South America,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,
aquwar1,Aquatic Warbler,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,Unfortunate mess for all seasons
arcloo,Arctic Loon,Asia,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,2,12-28,12-28,02-22,02-22,03-01,06-07,06-14,06-21,07-06,07-13,07-20,12-21,,,,,3,2,3,2,TRUE,FALSE,FALSE,TRUE,FALSE,2,,,,,,"Wow, this really drastically improved. Still patchy as an animation and I'm sure a few rough corners."
arcter,Arctic Tern,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,0,,,,,04-05,06-07,06-14,06-14,07-20,07-20,07-27,10-26,,,,,0,0,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,,,,,,Wow...breeding filled in this year.
arcwar1,Arctic Warbler,Asia,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,0,11-09,11-23,02-01,03-22,03-29,06-14,06-21,06-21,07-27,07-27,08-03,11-02,,,,,3,2,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,2,,,,,,Russia has filled in well and we've added more of the migration ranges. Animation still pretty brutal.
arcwar2,Kamchatka Leaf Warbler,,Taiwan,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,1,11-23,,,04-26,05-03,06-21,06-28,,,08-10,08-31,11-16,,,,,1,0,2,1,,FALSE,TRUE,TRUE,TRUE,1,,,,,,"Breeding range missing Hokkaido, winter range missing most of Indonesian range for most weeks. Shows too much range in SE Asia during migration."
arcwar3,Japanese Leaf Warbler,,Taiwan,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,11-16,,,03-01,,,05-10,,,09-07,09-14,10-26,,,,,0,0,2,0,,FALSE,FALSE,TRUE,FALSE,0,,,,,,"Other than breeding range fails for all seasons, missing most of wintering range, essentially all of migratory range, and overextrapolated into northern Japan/NE Asia during postbreeding migration"
ariwoo,Arizona Woodpecker,Central America,Nat Geo West,2,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,0,,,,,,,,03-15,05-10,,,,,03-15,05-10,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,"Might overextrapolate a bit into Michoacan (east and south of Lake Chapala), but might be true"
arrwar1,Arrowhead Warbler,Caribbean,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,A much better fit overall and more likely a better representation of reality than last year.
asbfly,Asian Brown Flycatcher,,Taiwan,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,1,11-16,,,03-22,03-29,06-07,06-28,,,08-03,08-10,11-09,,,,,2,2,1,2,,TRUE,TRUE,FALSE,TRUE,1,,,,,,"Missing large portions of breeding range in Russia, and maybe a bit overexptrapolated during that season in India. Nonbreeding the best quality, migration seasons so-so"
asbowl1,Asian Barred Owlet,,India 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Amazing.
ascspl1,Ashy-crowned Sparrow-Lark,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"BOW says they're well into Pakistan, but eBird doesn't support. Leaving as 2."
asfblu1,Asian Fairy-bluebird,,India 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,I can't find anything to complain about
asgsta1,Asian Glossy Starling,,Taiwan,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.14,A nip tight and missing a few islands
ashdro1,Ashy Drongo,,India,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,2,11-02,,,03-15,03-22,05-31,06-07,,,07-20,07-27,10-26,,,,,3,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Breeding season has some sprinkles in the northern Stans that shouldn't be there. A bit overextrapolated in the summer on the Indian plains. Otherwise pretty good.
ashgoo1,Ashy-headed Goose,8286,Southern Cone 3,7,FALSE,LAND,PROBLEM,PROBLEM,NG,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available in the status review tool to asses beggining/end of each season and evaluate maps per season
ashmar1,Asian House-Martin,,Taiwan,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,2,11-02,,,03-01,03-15,05-31,06-07,,,08-03,08-10,10-26,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Nonbreeding overpredicted in Japan, missing some Indonesian islands. Breeding overpredicted on the Tibetan plateau and other parts of China, but underpredicted in nothern Mongolia/Lake Baikal area."
ashmin1,Ashy Minivet,,Taiwan,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,11-02,,,04-05,04-12,06-07,06-14,,,07-27,08-31,10-26,,,,,2,2,2,1,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Disappears off the map during entire month of August. Other ranges look decent.
ashpri1,Ashy Prinia,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Range boundary in Pakistan is a bit noisy.
ashwoo2,Ashy Woodswallow,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,0.2,"I can't find anything to complain about, maybe every so slightly tight."
asikoe2,Asian Koel,Asia,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,2,11-02,11-23,12-28,01-25,02-01,05-10,05-17,05-24,06-28,07-27,08-03,10-26,,,,,2,2,3,2,TRUE,FALSE,TRUE,TRUE,TRUE,3,,,,,,"incredibly good; misses a few islands (Java, Sumatra, Borneo) where not common or not a lot of data; Still missing some sparse non-breeding signal to the south"
asikoe3,Pacific Koel,Australasia,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,0,05-24,06-21,07-13,08-24,08-31,12-07,12-14,12-28,01-11,02-01,02-08,05-17,,,,,2,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,,,,,,migrations and non-breeding on PNG and other islands not perfect
asiope1,Asian Openbill,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Should be treated as resident instead. Map range is nearly perfect.
asistu1,Asian Stubtail,,Taiwan,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,2,11-09,,,03-15,03-22,05-17,05-24,,,07-20,07-27,11-02,,,,,2,2,2,1,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Some overprediction in the northern part of the range, but otherwise pretty acceptable."
aspfly1,Indian Paradise-Flycatcher,India,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,IJD,2,11-30,12-14,02-01,02-15,02-22,06-07,06-14,06-28,07-20,08-10,08-31,11-23,,,,,3,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,,,,,,Doesn't do great with the breeding population in the 'stans. Post-breeding migration still noisy.
aspsta2,Asian Pied Starling,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.2,"Will need web taxa note. Setting to 2 because of taxonomy issue, otherwise excellent."
aspswi1,Asian Palm-Swift,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.14,"A little tight in India and Indonesia, otherwise overall pattern is great"
asspet,Ashy Storm-Petrel,,Nat Geo West,2,FALSE,WATER,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,05-17,,,10-26,,,,,,,0,0,0,0,,FALSE,FALSE,TRUE,FALSE,0,,,,,,Breeding season not that bad
astfly,Ash-throated Flycatcher,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,11-09,11-09,02-15,02-15,02-22,05-24,05-31,05-31,07-20,07-20,07-27,11-02,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
aswpig1,Ashy Wood-Pigeon,,Taiwan,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,0,,,,,0.14,Missing China/Laos birds. Extrap onto Tibetan plateau.
atbtan1,Ashy-throated Chlorospingus,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,Not far enough south in Peru
atlpuf,Atlantic Puffin,,Nat Geo East,1,FALSE,WATER,LOOKS GOOD,LOOKS GOOD,MTA,,0,11-30,,,02-22,03-01,05-17,05-24,,,08-03,08-10,11-23,,,,,0,0,0,0,,FALSE,FALSE,TRUE,FALSE,0,,,,,,
